True_Label,Predicted_Label,Text
0,0, this game is really good the best cities game on the market.mods are also great in making your city look better
2,0," good but... stop making us pay hundreds for dlcs. the game was pretty good, however, the snowfall, mass transit, natural disasters, and industry should all come with the game. the other ones are just more of actual dlcs, but the ones i mentioned showed be put in the game"
0,0," in this game you can build your own city with mods like infinite cash,auto unlock everything the game is so good.graphics:good need average pc/laptop. game play:amazing"
0,0, cool
0,0," you know a game is good when you wake up in the morning, turn on your pc, and play it until you sleep at night, skipping brushing your teeth, bathing, and even eating.for me, this is one of those games."
0,0, amazing after managing to start a city.
0,0, its the best city building game ive ever played. would highly recommend.
0,0, why do ppl die all the time i ♥♥♥♥♥♥♥♥ need to build everythuibng all the time wgatb tge fyck nahuii
0,0," my son lots of enjoy this game,"
0,0," 10/10 game, it can be frustrating sometimes but what i recommend is getting workshop mods or activating in game mods. fun game"
0,0," having grown up on sim city and the early building games...this has taken things to the next level. seem a little disappointed that i've missed the growth with this game, but while it might not be a ""new"" game, it's certainly new to me."
0,2, fulfill every neurodivergent desire in that little brain of yours. build a socialist-bike-filled utopia or a robert-moses-highway nightmare. join us.
0,0, it good
0,0," this game is pretty hard at first, but as you learn more about damn economics, then it all makes sense"
0,0, 10/10 implied sex
0,0," i was very conflicted with this game up until recently. the main issue i have is this: when your city gets big enough the game is a piece of cake. there is depth in the city painter part of the game, but close to none in the management side of things. for a long time i'd play the game, after several hours my city would become extremely profitable and then i'd play for a few more hours before uninstalling and waiting for a new dlc that would add management depth. that dlc never came. the next dlc won't bring it. unfortunately i doubt it ever will. what made me go from that level of disappointment to really liking the game? seeing in a new light. this game is an amazing city builder. amazing painter of cities. if you want to create a city that looks and feels like you want it to you have that ability. building what seems like a giant county of varied and unique zones with different looking towns and purposes is the best i've ever seen. playing this game with the intention of making my own new york or london is what it's near perfect as. the dlc just gives more tools to diversify the environment. so if picture a city in your head you can make it in this game. the opportunities are there.if you want to struggle to build and maintain it with tons of management tools this isn't for you. overall it's a 9/10 for me"
2,0," one of the best games, i really enjoyed the build mechanices. i wish they would have some sort of campaign mode or some way to compete against other cities"
0,0," a peaceful city planning game. it doesn't present much of a challenge once you've figured out the basic urban planning logic. as a paradox classic, there's a lot of dlc. the dlcs are good for extra variety after playing the standard game for a while, but i'm not sure if they're worth the price."
0,0, this game does not help with obsessive-compulsive disorders...
0,0, i love the freedom of creation this game gives
0,0, it's an awesome well made city builder.
0,0, i am slow brain and still love this game.
0,0, addictive game that aged very well
0,0, fun fun fun
0,0, i think this game is hard i think you should read about it before you buy it.
2,0, fun city building game but i think the dlc sould be in the game for free
0,0," its fun at first i couldnt figure out how it worked and didnt connect to the main highway, and then i kept going bankrupt lmao - but now its just chill. my first ""successful"" city fell to multiple death waves and ""not enough workers"" for industry (even though the demand was always at max for some reason), and i eventually lost it to my pc being wiped o7.overall a fun game to watch others play on youtube, and then to play for yourself, yet a bit frustrating to figure out if you're an idiot like me lol.also mods saved my life oml if you're struggling in your city, consider mods. they seriously help with qol things that they'll probably add in the next game, but for now we just rely on the mod community haha.thx for reading <3"
0,0, really love this game. can't wait for the cs 2
0,2, haha silly cities
0,0," one of the best city builders i have played. it is unforgiving, learn some city planning before you get into it. mods are your friend. the traffic manager is a life-savor!"
0,0, my best ever free time pass game!!
0,2," me build city, me happy"
0,0," the only current option for a decent city builder game (except for the upcoming sequel).immerse yourself as you take the role of the city manager. who lives where, which building builds 'nhere? (yes i made that word up) is now all in your control. create the dream city as you do your best to solve problems within your network and provide a prospering environment for your citizens.high replay-ability, great value for the price. incredible modding community.base game could- however- use some of the mods for convenience during your play through. try getting tmpe if you go into the modding for this game."
1,1, beware!!! after the latest update the game crashes every single time you try to create a new game.
0,0," the budgets in this game makes me wanna kill myself, not only that it makes me severely autistic."
0,0, very good game if you like city builders but they needa stop adding dlcs and do somthing else
0,0, addictive
0,0, i just want cs2 to release already. hopefully hey build in the popular mods to default functionality into the new one. i'd pretty much pay for a cleaned up version of the first. fantastic game all around!
0,0, great fun if you love city building and management!
0,0, epik simcity but modern
0,0, certified banger.
1,0, stupid game.. keep error
1,0," i do not understand why it will not start up. steam says it is running, but nothing happens. want a refund. probably a problem on my end anyway."
0,0, play till cs 2 comes ot
0,0, i like building the city hehe
0,0," addicting, fun, modern sim cities. hard but fun."
0,0," good game, worth a buy"
0,0, fun game with lots of expansions and area to play with.
1,0," i really feel like recommending this game because it has almost everything a city manager should have. the game generally works fine and everything is working as expected, and you can fix many flaws, make the game harder and add content through mods and the workshop.in the vanilla game (without mods) there's a bug that happens with water once your city becomes really big. if you're aiming at making a very big city you'll probably fall in this bug unless you install a mod that addresses it. citizens will become sick without any apparent reason. building more drain pipes and water towers won't fix it. even switching entirely from pumping water from a water source to using water towers won't fix that, so you're basically screwed and forced to abandon your city.i'm surprised developers haven't looked into that and that issue is still a thing, but as i said, as long as you install the proper mod the issue won't happen."
0,0, this game is nice.
0,0, great city builder.
0,0, brain exercise...
0,0," fun game, although a bit of a learning curve to start with."
0,2," paradise and heaven are too far away from us itw, so we have to build it in the game. luckily this game provides us the elements to design our own jerusalem"
2,0, great game don't get me wrong but very confusing maybe a better tutorial would help new players understand whats going on and how to use everything
0,0," its a great game, but it takes time to master. also the dlcs are not limited but are limited. a little bit of flexability could be made."
0,0, very good. very nice
0,2, hours of fun only limited by your own imagination.
0,2, great way to challenge the mind or unwind and just muck around.
0,0," well, it's a nice game but still have some flaw, especially with the traffic ai."
2,2, if they could just remove power-lines completely it would be great.
0,0," i bought this game around new years 2023 and gradually added dlc over time. i love the game, the continual challenges to maintain the city as it grows larger, most of the dlc-specific mechanics and of course the amazing community that creates assets and mods. i highly recommend."
0,0, very chill and relaxing gaming experience. i always come back to it.
0,2, i like to build trains and tall buildings
0,0, the best city builder. hands down
0,0, its alright to many dlc 8/10
0,0, it's a babe game. very slay.
0,2," yes, hopefully second game is just somehow completely better, think sim city/roller coaster tycoon."
0,2, its supa fun
0,0, really fun game
1,0," product is faulty , there is no in game sound. you paying for broken product"
0,0, they just die (idk why) and then the all leave ps not a lot of money to start with.
0,2, this game is kind of like a sandbox and let you build and design city however you like. requires to learn and understand the correct layout to maximize the flow and income.
0,0, mantap
0,0, this game tests your mental ability to solve and control certain problems and people and teaches you ways to solve problems that their is many ways to find a solution and sometimes are very easy.
0,0," a week ago i was diagnosed with a terminal illness and the doctors have given me a year at best. i'm so glad i was able to play this before i go. i don't know how many people will see this: but i recommend to you to play this game if you do see it. gameplay, atmosphere, graphics. everything is masterfully crafted. if you read it, thank you and good bye."
0,0," my wallet is crying. i love this game and would recommend to anyone wanting to build their own city, but doesn't quite have enough money to do it irl"
0,0," good game, very scummy dlc wise though."
0,0, it was very realistic and addicting i liked it a lot
0,2, cities skylines is a beautifully created simulation game that has changed the landscape of city building games.
0,0, probably the best city builder simulation game in the world.the game gets even better with some of the well developed addons that you can find in the steam workshop for this game.
0,2, godddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddxdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
0,2, it was fun. but a lot could improve.
0,0," relaxing, challenging (i am still not a pro, sorry), entertaining. love it."
0,0, i would argue its the best city builder ever made.
0,2, it is fun
0,2," a very fulfilling city building game. includes very granular controls, and allows you to include mods which elevate the level of gameplay significantly."
0,0," okay, i don't usualy write reviews, but i chose to (this time).i love this game. it's one of the best city builders i have played within the past decade. the other one is cities xl, which i played heavily before cities skylies came out (unfortunately that game, cities xl, is outdated and just wearing: not good for long play).this game, however, if lively, bright, inviting, smooth, and fun.i know a lot of people have an issue with paradox's ""dlc policy"" but you're not required to buy dlc to enjoy this game. the game itself is fun and has updates on its own. also, the game is open to mods, which means you can add assets and other things created by other fans of the game from the workshop without having to worry about the dlc....and i wonder jsut how many people may argue about the dlc may have bought an expansion pack for an online game (wow or any other,... final fantasy 14 in my case). i can't knock these worked on mini-expansions small prices when i spend $50 on an expansion for an online game that allows me to use 3 new jobs and travel to a new area...even thought i will be right next to people who can access these things without me having them (meaning the $50 was just a glorified unlock code, essentially)i mean they could wait and make a massive expansion and release a fullsized expansion but i don't see the issue with sevelal small ""expansions"" called dlc. dlc that one could wait until it goes on sale and buy them a bit along.and that is why i recommend this game. a company that continually wants to expand on their property to keep it alive. if you see it as them just being greedy, you're not oblidged to buy it, but it's clear that people are still buying them. why? because they enjoy the game.that's the point of games. to enjoy them. why not have more things added to further that enjoyment. much less have stuff added that is official, stable, and compatable.or, if you're not happy with it, you're free to go buy the old and outdated city builders that avaiable on steam here. simcity4 is available...but you'll never get to see any new content or enjoy any mods with that game."
1,0, a good city builder but there is one problem i have with this game: endless errors when trying to place an airport.
0,0, this game is great if you're an engineer/surveyor.
0,0, its great!
1,1, crashes when i try to launch it and is the only game i own that won't run
0,0, pretty gaming my first experiences include flooding a city best game of the century
1,1," can't get the damn thing to actually start.log announcing 115 hours of play. some process might have been running, nothing actually displayed on the computer itself. attempts to stop or restart only end up in ... nothing: various processes keep running, nothing displays anywhere ever, rebooting the computer requires manually killing the runtime processes with the task manager."
1,0," dox i know you're probably busy with cities skylines 2 and stellaris, but can you explain why does my game keeps getting stuck on the loading screen"
1,0," loads every asset, including unused ones, into ram whenever you try to go into a map. this is the only game i have ever run into this with, that reeks of poor optimization/programming, because why do i need to load all 5 other maps when i'm only playing on 1 map. if the game crashes and you have 16 gb of ram, this is the likely reason why, my old computer crashed all the time because of this. haven't crashed yet on my new pc, however it still tries to take up 20+gb of ram."
2,0," 10/10 best city builder, but needs more roundabouts! xd"
0,0," good game for losing your mind to a city in the sky, so many ways to make a city without or with uniform."
0,0," whole town lived of poo water for 6 months, reminded me of home 10/10"
0,0, new favorite game
0,0, a classic but still worth it. engaging and intelligent. always fun.
0,0," i love building the worst possible city, purposefully designing it to fail while charging my residents absorbent prices and giving little to nothing back. - mayor of los angeles"
0,0, fun game but i dont want to spend like 400$ on a bunch of pixels
0,0," for the record i love this game and it's my go-to de-stressor in any situation. seeing how much it's grown since 2015 with all of the updates and expansions has been an incredible display of progressing a game from it's vanilla state.but just skimming at the content section of the store page, there should not be $300+ worth of dlc. we cannot keep letting paradox get away with their greedy practices when the sequel to cities: skylines finally comes."
2,0," i love the game. have played it a lot.but...i need the mods from the workshop to be enjoying the game. and paradox keeps breaking the mods. again, and again.i stopped playing for a while, and gave it a try again. but two days ago they updated the game again, and i can't play it. it's like i am waiting for game 2 so i can play game 1 without any new gamebreaking updates.please stop ruining the game. it's a fantastic citybuilder game when i can play it with the tools i want to use."
0,0, i wanted to build a car-free city but apparently that is too far-fetched of a fantasy for this game.
0,0, very fun not that hard many expansion packs. my rate 10 out of 10
0,0, fthr
0,1," went bankrupt in 5 minutes, otherwise very cool, caused suffering to thousands"
0,2, you can create your little world there and it's fun
0,0, fantastic sandbox..... have always loved cs always will.
0,0, best game ever.
0,0," an amazing city builder -probably the best. definitely has a learning curve and costs a large sum of $$$ to get all the dlc. however i would say that the price is worth it and this game can provide you with hundreds of hours (i have played more than 29 hours in total, as i own the game on xbox as well). the community for the game is amazing and can help you learn the game in no time. 9/10"
0,2, build ♥♥♥♥♥
0,2," i'll just fix the metro and then i'll go to bed.i'll just fix this round-a-bout and then i'll go to bed.oh, i'll just delete these abandoned buildings and then i'll go to bed... promise.wait, i need to fix this road, then i'll go to bed.and the buildings."
1,0," i actually like the game, but after buying more than 10 dlcs, the game cannot run smoothly. please fix"
0,0," until there is vertical snap to grid (or otherwise sculpting tools that don't leave the world looking messed up forever once you used them) i would not recommend this game. 1990 something's roller coaster tycoon's terrain management worked better than the system this game uses, so it's not like this is an impossible ask."
0,0, best city building game ever .
0,0, it's awesome
0,1, its pretty ok
0,0," very fun at start,base game kind of bland."
0,0," i hesitated buying this game for the longest time. if you grew up playing sim games like simcity then most modern citybuilders are pretty aweful and i usually avoid buying games with dlc. however i was really surprised at how well rounded and detailed this game is. after almost 2000hours of my life to this game, it is one of my favorites. the industries dlc does need to be redone its really unbalanced, almost cheating, and supply/demand is just broken/nonsensical. this game totally scratches the simcity itch, and it supports mods."
1,0," this game is nothing like the adds. i was playing and i made me best city and then the happiness went down, and everyone was sick and it all just started to crash and my city was destroyed. over all2/10 do not recommend"
0,0, love it. great city builder
0,0, the game is fun if you like buildings and making cities
0,0," it's certainly not perfect and often becomes traffic simulator, but it's the best city builder out there imo"
0,0, it is really fun to play
0,0," runs poorly, with workshop mods its playable and it became my favorite game."
0,0, v good
0,2, only play if you want to go insane
2,0, overall a great city builder but the original game should have included things like roundabout builder etc that you can get free as a patch
1,0," i bought this game and was excited to play it, but it will not open when i click play, it will say that its running but when i pull up task manager nothing shows as running besides steam. googled it and no help, very disappointing"
1,1," game is suddenly crashing as it loads. at this point, just save your money and wait for c:s ii"
0,0, the best city planing game so far
0,0, its really cool to build a city
0,0, best time i've spent on a game
0,0," this game is great. especially with mods. huge shoutout to those who have made mods and maps. definitely check it out. skylines2 has been announced though, so maybe take it easy on the dlc."
0,0, recommend
0,2, when your cities are skylines
0,0, good game
0,2, it's a very creative and fun game where you can control your own city to either lead it to destruction or prosperity.
0,2, you need to pay dlc to get all the achivements
0,0," i really recommend this game if you love the creativity of customizing a city. sadly, without the dlcs, the game is kind of bland so i do recommend finding a guide on the best dlcs to buy/find. just make sure not to have too many because some computers can't handle too many dlcs. though at this point, i recommend waiting for cities skylines 2."
0,0, very engaging and relaxing game
0,0, hands down the single best game that has ever been created in this genre.
0,2, yes. good. i like the tiny people. they exist because i will it so. i am the power man
0,0, its good
0,0," if cs1 is this good, cs2 is going to be amazing"
0,0, i cannot comprehend how one game can eat my entire ram
0,0, very relaxing but stimulating game. i cant wait to play the second one coming soon.
0,0," paradox insists on pushing more and more dlcs that do stuff already available through mods instead of starting a new with an updated engine like this game very clearly needs. was a good game when it came out and for the subsequent years, and nowadays it still is the top citybuilder but only because it has no direct competitors."
0,0, the joyless cash grab version of simcity 4
0,0, an amazing game to lose yourself into. the possibilities are endless on what you can do. ive already clocked 22 hours on this and will be streaming this on twitch because a ton of people are excited about it. its kinda like sims on steroids!!
0,2," throw simcity in the garbage, this game has everything you'll ever want from a city building sim."
0,0, paradox provides no instruction or tutorial on how to play.
0,0, very fun and addictive haha yes
0,0, cant wait for 2
1,0," i want to recommend this game. i really do. i just can't.it's so riddled with bugs and issues that it makes it so inhumanly infuriating to play that i almost requested a refund after over 2 months of playing it.i haven't done anything that would break the game.this game has resulted in the following14 vague error messages3 forced restarts18 random crashesand i had to potentially risk corrupting all of my data for this piece of ♥♥♥♥ game.go ♥♥♥♥ yourselves paradox.1/10edit: just realised that this game actually partially corrupted my pc. again, paradox and colossal order can go ♥♥♥♥ themselves."
0,0, great yet complicated game.loving it
0,0," i got it when it was free for 3 days, and then it said i have to buy it after the sale."
0,0, never played this game before
0,0," i worked on my city for 25 hours a day, only for it to get flooded by a tsunami. if you dont have special dlc's, you cant save your city from disaster!!!"
0,0, amazingly fun
0,0," cities skylines is much like sims:i'd play this game for 3 days straight no problem,but then i'd happily not touch it for 9 months."
0,0, my favourite game on steam ever.
0,0," have you ever played a game and wondered where the entire day went. that's cities skylines in a nutshell. there are so many ways to play this game there's not enough time or space in this review to do it justice. this game is perfect for creative types and those that like challenging game play. this game is a blast both modded and vanilla.i do recommend adding mass transit, after dark, parklife, green cities, and industries dlc, in that order. sunset harbor is also a great addition to the game. if you like city builders, you can not go wrong with cities skylines."
0,0, this is the game simcity wishes it was.
0,0," this game is confusing, unclear, unsatisfying, and overall just a mess.it's fun at the first few stages, but when it comes to managing a larger city, things get really confusing if you didn't plan ahead.or maybe that's just a skill issue of mine. idk, i can't really say much about it. give it a go when it's on sale or something."
0,2, just everything other than controls
0,0, don't bother - this game can not be played without mods and none of the mods are ever truly compatible with all the updates and changes. you'll get super frustrated with this garbage.
0,0, very fun and engaging i played for 12 hours after i got it
0,0," love this game. mod and asset makers are fantastic and every single dlc adds an amazing layer to the game, but it is still fun without the dlcs. super excited for cities: skylines ii and will keep playing this for the months to come."
0,0, so real
0,0," very good game, everything is nicely detailed. only problem is, that there are too many dlcs, which are very pointlessly placed (small details, some stuff that should be in base game)"
2,2," please incorporate built-in fillers such as plazas, concrete, cobbles, asphalt, etc., and include the ability to modify the plaza of an existing building, at least do it for cs ii. in actual cities, you wouldn't find empty grass spaces between two high-rises."
0,0, starve your citizens!
0,0," probably my favorite sandbox/creative game ever along with the likes of minecraft.been playing it since almost launch and keep getting addicted, well worth a buy - especially during sales.the only complaint really is the usual paradox interactive milking of dlc, so look for a list of the best dlc to get before buying any. looking forward to the sequel when it does come!don't forget to have a decent amount of ram (16+) if you want to get a decent amount of addons."
2,0," stop adding your launcher to games on steam! if i buy your game on steam, i don't want to buy a shortcut to your launcher just to launch the damn game. the same thing happened to kerbal space program too, quit it."
0,2," it's a fun, strategy, big brain game innit"
0,0," review of cities: skylines - a masterpiece of city buildingcities: skylines is undoubtedly one of the best city-building games ever created. this game offers a captivating experience that will delight both simulation enthusiasts and newcomers alike.the biggest strength of cities: skylines lies in its incredible depth and freedom, allowing players to shape their cities according to their own vision. the game offers an impressive array of options, from road and traffic planning to zoning and the design of parks, public spaces, and infrastructure. the possibilities are nearly limitless, and every decision has an impact on the growth and quality of life for the residents.the graphics and design of cities: skylines are stunning and detailed. the various neighborhoods, landscapes, and buildings are lovingly crafted, creating a vibrant atmosphere within the game world. furthermore, the game provides smooth performance, even with large and complex cities with thousands of inhabitants.the challenges presented to players are realistic and engaging. balancing the needs of the population, economy, and environment requires strategic thinking and planning. there is always something to do, whether it's solving traffic problems, creating job opportunities, or dealing with natural disasters. the game keeps a constant flow of events and tasks, ensuring that players never get bored.another major advantage is the active modding community that has expanded the game extensively. thanks to the easy integration of mods, players can further customize their experience and introduce new content, features, and designs into their cities. this makes the cities: skylines experience even more diverse and long-lasting.overall, cities: skylines is an absolute must-have for all city-building game enthusiasts. it offers unparalleled freedom and depth in city design, beautiful graphics, challenging gameplay elements, and a vibrant modding community. with this game, you can invest hours upon hours in creating and managing your dream city, constantly discovering new creative possibilities"
0,0, fuuuuuuun
0,2," nice, relaxing fun. mainly an exercise in networks and traffic management, but plenty of extra things going on."
1,0," so i bought this like a year ago and i wasn't fully inactive on it i visited it like twice a week or something, i turned my pc on one day and it got taken out of my library, no explanation, just a blank message saying that it has been taken out of my library"
2,0," it's a good game, its just certain things i think should be at least free. extra cars cost $2 and so on. other then that, its a cool game!"
0,0, its a nice game
0,2, easy game to turn your brain off to the outside world and overthink about what you're gonna place next
0,0, verry nice mgame if ypu have the time
1,0, this game broke my computer twice also its so unrealistic and the mods that do make it realistic take like 2000 hours just to load a city so this game sucks and i do not recommend it if you want a game like this but better play workers and resources soviet republic.
0,0, one of the best ever
0,0, bad traffic system but the rest is great
1,1," view controls suck, cludgy, and have a delay between key presses and screen changes. got locked into night view and can't change it. sewer system refused to set up properly, drove the citizens out and now can't get new citizens after rebuilding the sewer. can't find controls to make it work."
0,0," paradox has a severe lack of respect for its long-term customers. they keep pushing patch updates for mediocre dlcs that destroy all of your mods and ruin your previous saves. after years of playing, i no longer recommend. i'm sick and tired of a game that i've been over $100 for being useless after an update for a dlc i have no interest in buying.other games that i play don't destroy mods with their updates, nor do they ruin saved games that players worked weeks on before being destroyed overnight. paradox is nothing but a cash cow."
0,0," this game has properly milked me for my money and i couldnt be happier. the base game is absolutely fantastic and very easy to understand and get started, but as you progress you learn more and more until the game is entirely more challenging but fun. i recommend green cities dlc and most of all industries (which in itself is a game). these add alot while remaining simple but if you want complex if you fell like diving in the deep end. i am excited for cs2 3 months has never felt longer."
0,2, debt simulator
0,0, excellent game! even better with mods & dlcs!
0,0," i made a thriving city called ""poopcity"" and this game is awesome!!!!!!"
0,0, this thing with mods it's amazing.
0,2, fun game with tons of dlc that makes the game more interactive and unique.
0,0," what can i say about this game that hasn't already been said? co understood the brief and delivered. when ea released the dumpster fire that was the latest sim city installment, co came along and saved the day. it's everything ea *could* have delivered but didn't care enough to try.the game is incredibly feature-rich, even without the expansion packs and the exceptional work of the modders make the game even better.the only downside i see to this game is that some (not all) of the dlc/expansion packs just look like a blatant cash-grab, with some of them costing more than they should do considering how little they add to the overall experience. some others feel like an afterthought - the campus add on, for example, doesn't really have much impact on your city at all. industries, however, does. don't get me started on the radio station add on packs...that said, it's very easy to sink a silly amount of hours into this game, and critically, not regret doing so. that's a win in my books."
0,0, one of the better building sim games.
0,0, the road building is unbelievably awful
2,2, this game needs a battle royal
0,0, favorite game since anime world war 2
0,0," 1. pirate game2. feel bad and buy game because it's such a good city sim3. spend several hours building a functioning city4. reach 13,000 population5. make huge investment to build dam to solve energy problems forever6. accidentally divert the river7. city is reclaimed by the sea"
1,0, all old people die simultaneously. drivers can't make a u-turn unless the road has ended. no one tries to avoid traffic jams. twitter is annoying.10/10 for realism
0,0," this game made me understand traffic flow enough to develop a malicious, indomitable hatred of the road design in my own city.lots of content, lots of good mods to increase complexity and increase the already fairly high skill ceiling. i learned some interesting stuff about city design and development.some of the dlc is pretty yikes. it can be way overpriced, while adding something that really shouldn't cost 10 bloody dollars. but theres still some dlc that i believe is worth the price. increasing options, and adding potential for more city functionality. just check the reviews and you'll find the good ones.100 hours and i spent like $50. and i'm going to play more eventually."
0,0, i get to play god
0,0, lacks elephants but still fun
0,0, amazing game with great detail and realism.
0,0, this game takes sooooooooo much time to play. this is like playing 5 hours feels like 1 hour of playing.possible to do almost anything thanks to mods.
0,0, i like no pressure building/creation games. i am into problem solving. this game scratches that itch.
0,0," the best city builder. with expansions and workshop support, this game is great to lose your self for a session."
0,0, really good but the new one is coming soon
0,2, build the city
0,2, the city of phoenix arizona is a disaster and should be razed to the ground it stands on
