True_Label,Predicted_Label,Text
0,2," don't just focus on the driving, listen to something. eventually driving becomes the background activity.(anyone who follows the traffic rules is poop)"
0,0, love it. if you love trucks and driving this is for you
0,0," very good game i love the realism, idk yeah"
1,0, what's the point play is game anymore if it keeps crashing ever few mins cuz scenery loads in only a few feet from you now? i use to love playing this game but what's the point playing it now.
0,0," good game 9/10fun and realistic game, it happens to be that type of game where the visuals and scenery are perfect and how sometimes driving around hits the mood. playing the game with friends makes it 10 times funnier, especially mine, always crashing and cant drive straight. something i liked about it was the attention to detail with real life, fines, engine sound, rain etc. overall it's good and dlc's make the game better."
0,0," oddly relaxing, definitely worth it. and im going to build a lot of hours on this game it's addictive10/10 highly recommend"
0,0, best game for truck simulation
0,0, good game bit laggy with some mods but overall a very good game
0,2," the game is for people who want to be a trucker and deliver trailers, relax or just download modes and have fun."
0,0, very nice game
0,0, love this game!
1,1, game not open
0,1, jumping over roundabouts at 130mph is great
0,0, hmmm trucks
0,0, amazing realistic game worth every cent.
0,1, 54
1,1," so i bought this like a year ago and i wasn't fully inactive on it i visited it like twice a week or something, i turned my pc on one day and it got taken out of my library, no explanation, just a blank message saying that it has been taken out of my library"
0,0, almost perfect despite the amount of crashing ive had over the years. i do love the community mods too
0,0, my game!!! scs i love you for this.... love the trucking and through this game i am making my wish come true as trucker life... sim _ the trucking simulator and euro best... thanksthanks scs for euro truck simulator 2 and looking forward for more fun to continue added
0,2, just living the dream
0,2, it gives u a feeling of happens
0,0," i'm keith grant , and this is my review on euro truck sim , it is a very realistic game and there is loads of places to drive from all around the world it is a very fun game to play too but sadly i'm from ireland and ireland isn't in the game but on the plus it's still a great game and i recommend you to buy it ,keith"
0,2," the driving physics in euro truck simulator 2 are some of the most realistic in any video game. the trucks feel heavy and stable, and the handling is very responsive. the game also features a variety of different weather conditions, which can affect the way the trucks handle.the customization options in euro truck simulator 2 are also very extensive. you can customize your truck's exterior, interior, and even its engine. you can also hire drivers to help you with your deliveries.the open world in euro truck simulator 2 is vast and detailed. the game features a recreation of europe, with over 200 cities to visit. you can also drive through a variety of different landscapes, including mountains, forests, and deserts.overall, euro truck simulator 2 is a great game for fans of truck simulators. it is realistic, customizable, and has a vast open world to explore. if you are looking for a relaxing and immersive driving experience, then euro truck simulator 2 is a great choice."
2,0," day 1 of owning this game i put 12+ hours in to this... this game is very chill and addicting. the ai traffic does sometimes show odd behavior but there are mods that supposedly fix this. you do get allot of arbitrary parts of your route to be blocked by police forcing you to take another router, i guess it is done to keep you entertained and engaged but it does get annoying at times. i do wish the road maps were more complete but i guess that would cause issues of it's own where they cannot cut travel times as much without people noticing."
0,2," fun and relaxing to play, if you like to drive trucks, deliver stuff, and free roam."
0,0," !0 years and 4000 hours later and i'm still playing. however, it's not the same game i bought 10 years ago. it keeps getting better and better every year. the devs are always updating and adding new content. they have seasonal events, great support, and have built a great community, here on steam and on their world of trucks website.i can't say enough good things about this game. it is relaxing, fun, interesting, and challenging at times. it has stunning scenery and a ton of landmarks. what are you waiting for? go buy it already!"
1,0," when the game actually runs its a great game and i do enjoy it but unfortunately the game does have a few faults. the main fault i have found is when the game updates it never goes smoothly i always run into the same problems. after the game updates, i launch it and it gets to the loading page and then crashes and shuts down with no warning. i contact steam every time this happens and send them the crash log files and they suggest things that may be causing the crash. ill take their advise and do what ever they tell me to do and eventually it does work and the game starts working again, but a few weeks will pass and then the game will update and i run into the same problems... when i first bought the game on my previous laptop i did manage to stop the downloads and didnt have any problems for a few months but eventually after around 5 updates the game got ""too old"" and would no longer run due to needing an update so i had to update it and it did work until the next update when i ran into the same problem. i have tried to stop the updates since and cant find any way to do this. i do really enjoy the game and i think its a great game but with this problem happening every time it updates its now getting to the point where i think its not worth it as its getting now getting tiresome."
0,0, the most relaxing and fun game you can play with your friends without swearing at each other.
0,0," fairly realistic game for driving trucks.(compared to reallife)the newer truck models are good but the older models aren't,random hairpin turns on the highway. but they are working on that aswell.allround great game to goof around or to actually learn some skills(somewhat)"
0,0, i played it for 500h and still haven't even explored 50% of the map. 10/10
0,2, like
0,0, the only game where i can crash and get away
0,0, its fun with friends
0,0, best game if you're bored
0,0, this game is one of the best if not the best truck simulator game out there. it has so many features and city's to explore. its just a 10/10 i can't describe it.
0,0, big truck fun to drive
0,0, best simulator game of all times.
0,0, its very good game
0,0, nice
0,0," euro truck simulator offers a surprisingly immersive experience for those seeking a taste of the open road. the game's attention to detail and realistic driving mechanics make it a solid choice for fans of the genre. while it may not have the flashiest graphics or groundbreaking features, euro truck simulator delivers a satisfying and relaxing journey that trucking enthusiasts will appreciate."
0,0, truck go fly
2,0," love the game but release the dlc and stop getting involved in politics. i want a dev to make games, not get involved in conflicts of war around the globe. i want to reccomend but how can i reccomend a dev who decides what he will release based on world events as opposed to what fans want?"
2,0," i like everything about the game simulator. i also like how u can pick your own live music, that is awesome. it would be more awesome if it had a jake brake for the trucks, an if you could walk to the side of the trailer an let down the landing gear. but that!s ok the game is still awesome! thanks guys ps would be nice if u had more steering wheels on the left side."
0,0," this game is like working 8hours of job a day and the comming hope, doing more job and enjoying it. people who like euro truck either havent tried good games or are 60 years old uncles who use their son´s pc."
0,0, i love how you can drive across europe
0,2, this game is very relaxing. pump it full of realism mods and just turn some music on and you zone out very fun also
0,1, i like playing it on the my xbox submarine controller but sometimes i run out of air
0,1," as a truck driving simulator it is ok ish.as a truck driving simulator to see some of europe, it is absolute garbage.your avatar is a picture.you have no visible body or arms in the cabin either.your company is just a name and one of eight in game pictures that can not be changed.it is not possible to decorate your truck or trailer with the name either unless you learn to mod.the optimisation is bad.the game stutters and freezes often, and i have a high end pc.the sound will give you a headache, as the v8 sounds more like a coffee grinder than an engine, and it is noisier inside the truck than outside of it.the physics are atrocious, and this may be hard for the developers to believe, but it is actually possible to drive a truck at 80 km/h without loosing the ability to steer it just because it rains.rule of thumb is that the closer you are to the ground, the faster you can go, but not here.40 tons of flat packed steel two feet off the ground behaves exactly the same way as a container ten feet off the ground.there is no dirt and no visible wear and tear or damage. at all. anywhere, to anything.all the roads are copies of one base, so they are all the same no matter what country you are in.the gas stations, logistics centres, farms, factories and so on are also made from the same templates, thus making one in the middle of paris and the countryside of belarus identical.the rest of the scenery have slight variations, but all the trees, vegetation and buildings look like cardboard cut outs, even on ultra settings.most of the famous scenery and landmarks in europe are not present, and i`m guessing that is due to avoid paying for copyrights, since the only ones present are the ones free to use.the fact that they cut out real life companies and made up their own similar brand names instead does not help either.even the radio that some reviewers spoke so warmly about is just a collection of free to use internet stations.tldr:just another cash grab disguised as a game.nothing that is worth having unlocks as a part of the game progression.you need to buy one of the dlc`s in order to get it.want a nice paint job ? dlc.better lights or a flag in the window ? another dlc. even better tiers have their own dlc.and there are currently over 80 of them.so why do i play it ?i was over the refund limit before i realised what it actually was, and it is expensive, so i play with a ton of mods to at least get something in return. simple as that."
0,0, this game takes me back to my old job before i killed a family of four while delivering construction materials. sadly i lost my job but this game takes me back to the good old times
0,0, launching the truck in multi is fun
0,0, the best game in my library. :d
0,0, is good i like
0,0, it is a great game by itself personally scs has done a great job with this game!the main reason the game is super poplar is due to the multiplayer side of the game which is truckers.mp.& truckers.fm & promods.
0,0, this game made me quit my job and become an actual class 1 driver
0,0," only bad thing about the game is sometimes i have to go to that place with the british ""people"""
0,0, woah.... this game sucks
0,0, class game
0,2, relaxing game and good if you want to explore roads!
0,2, my ass hurts after sitting for 5 hours straight. would recommend.
0,0, i drive.
0,0, sad
0,0, not supporting lgbt and that make it a goaaat
0,0," i recommend this game to my best friend, and he started to play also!"
0,0, great game very adictive
0,0, i became a 47 year old in the span of 30 hours
0,0, really fun with friends
0,0," a few hours after i bought it, the game became a little boring"
0,2, mm truck
0,0, i love drunk driving
0,0, this made me contemplate quitting med school to pursue being a trucker
0,0, its sick innit bruv
0,0, truck go wrrrrrrrrrrr
0,0, nice game good job
0,0," its a good game and very relaxing btw xd, fun to play recommend it even with those mods argh in love"
0,0, its good but it can be better
0,2," average game ,cities only have trucking company buildings and that's it, terrain is not interesting, its mostly a highway riding simulator which is actually quite boring."
0,0, it's awesome and realstic. fun to play.
0,0, played this for approx 300 hours 5 years ago. didnt think id play it again but is a great game.
0,0, varryyyyy guuuddd gaame
0,2, speeding ticket dodging simulator
0,0, very good game i recommend <3
0,0, nice.especially with skyline r34 mods
0,0, is good
0,0," it's a pretty fun game, there are no words to describe it"
2,0," the game is a mixture of driving simulator and very high level business management, you hire drivers and buy them trucks to make more money, so that you can buy yourself more trucks. mods are not required to enjoy this game, but the community really shines at making very high quality and useful mods for the game. i especially suggest getting promods which expands the map (amongst other additions).the best thing about this game is the developers, they are communicative, engaged with the community and help to support modding and integration. this game and american truck simulator have grown tremendously with the help of fairly priced dlc and free updates.there are still things i would like to see, namely:being able to switch off certain sounds in game - such as the helicopters and planes.a better gps system which actually tells you which lane you need to be in.the ability to use the truck cabin switches, instead of just keyboard commands, similar to flight sim cockpits.more diverse and challenging parking situations and more city centre locations with obstacles.tldr: amazing game if you like driving and/or trucks, with the backing of (imo) one of the best developers around."
0,0, i like this game + no bugs for me
0,2, truckin'
0,0, pretty nice and relaxing game tbh.
1,1, the mouse drags it's self up and down and wont move at all!
0,0, great!!!
0,0, i like this game
0,2, nice for roaming and spending time with friends. and i must say don't stop if you crash!!!!!
0,0, good game..
0,0, ever been beaten by a wet spaghetti noodle by your girlfriend because she has a twin sister so you got confused and banged her dad? that's how it feels to play euro truck sim.
0,0, not bad
0,0," this game is so fun, i'm quitting my job to play it full-time."
2,2," the game is very calming and nice to play, if could expand more on the business side of setting up that would be great"
0,0, very good simulator
1,1," does not work with my controller, keeps crashing the game every time i try to use it , game is unplayable without a controller , if anyone knows how to fix then then please help"
1,1, when i was playing this game and driving my truck the wipers are't stoping after many tries
0,0, mantap gan.
0,0, relaxing game especially if you have a wheel graphics are really nice and you dont need an insane pc to play it
0,2, i'd recommend it! it's made really well (apart from the glitches that happen when you crash into a car). it's either a relaxing experience alone or a fun truck game with friends.
0,2, add feet
0,0, gg
0,0," don't buy if you don't have a steering wheel, pedals and a stick. it is not fun to play on kbm/controller"
2,2, please add more details
0,0, this is the best game i've ever played god bless
0,0, brilliant relaxed game
0,0, i have depression from driving for an hour straight just for a mesly 10k just like real life
0,0," this is the first time i've ever left a review on steam, but i had to. while the game can't mimic certain real life situations, the amount this game has gotten accurate is nothing short of impressive. i saw locations that have been faithfully recreated. the engine noises, the turn indicator, the traffic, the air brakes — are so real. the most realistic driving experience that you can have. if you like this kind of games, then ets 2 is for you. definitely can recommend to play, just a wonderful game."
0,0," what a game! ben playing it for 11 years across 3 accounts.makes your appreciate the job that truckers do. you've got to change gear, change gear, change gear, check mirror... murder a prostitute. change gear, change gear, murder."
2,2, wish the game comes out in unity version in future
0,0, interesting
0,0, truck goes vroooooommmmm
0,0, highly recommend although the dlc price was increased.
1,1, i like this game to play as fun but in other side when i want to play with my friends as convoy for some reason does not let me join to the convoy sometimes i can play but sometimes the convoy does not appear very frustrating 1 star please improve the game as it has glitch to fix in the convoy.
0,2, drunk driving: the game
0,0, the best truck game im just sad that i dont have going east
0,0, very nice game
0,0, if you are on the lookout for a different kind of driving games，you should definitely give euro truck simulator 2 a go！
0,2, i love coming home from work to my second job as a truck driver. i wish they added beer tho.
1,0," this game is broken because when i use my logitech g920 racing wheel, the accelerator goes 100% power even tho i'm not pressing it and it sometimes shake the in-game wheel, i don't have any problems with controls in other games. so i don't not recommend this game if you want to use your racing wheel."
0,0, amazing especialy the viva la vida dlc
0,0," very good very nice very goood veryyyy niiiice.hello sexy banana...i love speeding and getting tickets, my dream to be real life trucker and cause many fatal accidents"
0,0, this game changed my life 10/10 would recommend
0,2," just driving, nothing else, nothing more, feels great"
0,0, the experience with all dlc's is amazing. definitely recommend
0,0, my wife left me bc of this
2,0, this game is best ever!! plz add man tga and mercedes benz actors 2020 and iveco s
0,0," the dlcs and the game itself may be expensive, but they're worth it"
0,0, pretty satisfying
0,0, best realistic truck driving game i have played till now..
0,0, looks great. still better than ats
0,0," always loved trucking sims, if you love european roads and scenery its very cool, the attention to detail to the police cars depending on the country you're in makes it my favourite part. 10/10 for the dlc's plus mod community is great"
0,0, very good game.chill vibes only
0,0, if you have a steering wheel its really fun but to use the steering wheel go on its website download the software unplug the steering wheel then it asks to plug it it will connect it to the pc then you can on it. plus its good for £4
0,0, very good game with friends
0,0, great game worth buying!
0,0, very fun and interesting
0,0, its n good game
0,0, thanks to this game i can finally drive at 110kmh
0,0," your're a trucker, harry!"
0,0," really fun with a wheel (g29, g923.....) also really good customization options and truck options"
0,0, nice game
0,0," remember, don't go to british lslands in this game. it ain't worth it"
0,0, very good game but you need some mods if you want it really realistic
0,0, risu made me play this game. blame her
0,0, pretty good
0,0, it's a very fun and chilling
0,0, if you want to be a trucker then it is a game for you. for better experience i prefer buying an sterring wheel
0,0, tare
0,0," got a cat here. friends passing by can touch her and click like to pet her once. award for good luck, take my points for infinite pets"
1,1, my game crashes when i open up the map
0,0, okay
0,2, beautifull places!
0,0," i really like this game, the fact that driving seems like real life is unbelievable. definitely recommend it!"
0,0," hello, this is my review on ets2 i first started playing this game when it first came out originally on disc then bought it on steam and i got to say how much it has improved over the years and making it as realistic as they can from adding new trucks and map expansions and also the reworks they currently doing as of right now.i give this a 10/10 review because it's one of the best simulation games i have played and just generally love trucks. can't wait to see what you have planned in the future.remember to keep on trucking"
0,2, real view
0,0, the best simulator driving game i ever played
2,0," the game is very fun, but you need to add the arabic language ..."
0,0, its fun to play
0,0, i have no idea whether i like this game or not i dont even remember playing it although very nice truck simulator and you can also use a steering wheel with it i think + delivery thing yes? idk.for a truck simulator game 10/10
1,1," i just entered a game, logged into my account, and i was level 5 because i just bought the game, and all the levels got deleted for almost no reason at all"
2,0, as a simulator it is very good. no complaints. things which can be improved is the weather. the rains are very unrealistic and they need to add snow too.
0,0," love this game, it's fun to play."
0,0, there's no drinking in this game but i have a pink truck so its ok
0,2," step into the shoes of a trucker with euro truck simulator 2! it's like going on a never-ending road trip, where your job is to transport cargo while singing along to the radio. the game offers breathtaking scenery, realistic driving physics, and an uncanny ability to make you appreciate the joys of getting stuck in virtual traffic. just don't forget to take breaks to stretch your legs and remind yourself that there's a real world out there. 10/10 would recommend for anyone who wants to experience the thrill of hauling virtual goods without the pesky smell of diesel fuel!"
0,0, i can drive a truck at 300kmh
0,2, fun to keep going on.
0,0, just good
0,0," wonderful game, did not expect it to have such high graphics, as well as an awesome gameplay built for many types of users, btw there is a radio function with many popular radio stations, 10/10 would buy again."
0,2, very fun and relaxing
0,0, nice game if you like trucking
0,0, very relaxing and ejoyable if you like long games
0,0, its very realistic
0,0," if you are looking for a realistic game about truck this is the perfect game for this, i would highly recommend it to everyone."
0,0," there was a beautiful sunflower field. i stopped my truck. gazing at the beautiful landscape thoroughly, i was completely mesmerized by the creation of almighty developers.*finally thought of jerking off on my seat*10/10 recommended."
0,0, overall its is a good simulator but i highly recommend mods to make it more enjoyable and promods is a must for uk driving as it looks to be the uk will be a long way off before scs gets to start work on.
1,1, it crashes when you click alt + f4
0,0, drove me crazy
0,2, relaxing game for afternoon
0,0, this is is so fun. i reccomend to people who likes driving.
0,0, i killed a family of four
0,2, it is all about simulated trucking.
0,0," there is nothing to dislike about this game, it is fabulous"
0,0," 1.realistic trucking experience: euro truck simulator 2 offers an incredibly realistic portrayal of the trucking industry. the attention to detail in the game is remarkable, from the authentic truck models to the meticulously designed european road network. it gives players a genuine sense of what it's like to be a truck driver.2.beautiful scenery: the game features stunning landscapes and environments that capture the beauty of europe. whether you're driving through the picturesque countryside, bustling cities, or scenic coastal roads, the attention to detail and the level of immersion are truly impressive.3.extensive map and content: euro truck simulator 2 offers a vast map, covering a significant portion of europe with a variety of cities and landmarks to explore. the extensive map ensures that there is always something new to discover and keeps the gameplay fresh and exciting.4.customization options: the game allows players to personalize their trucks, including choosing from a wide range of vehicle models, customizing paint jobs, adding accessories, and even modifying engines and other components. this level of customization adds depth and a sense of ownership to the gameplay.5.relaxing gameplay: euro truck simulator 2 provides a unique and calming gaming experience. the relaxed pace of the game, coupled with the soothing sounds of the road, can be a refreshing change from more fast-paced and intense games. it offers a great way to unwind and enjoy a virtual road trip.6.active modding community: the game has a dedicated and creative modding community that continually produces new content, such as additional truck models, realistic physics enhancements, and even map expansions. this active community ensures that there is always new and exciting content to enhance and extend the gameplay experience."
0,0, very good game and very cheap
0,0, best demolition derby game available.
0,0, yes i would recomend this game it is very realistic
0,0," driving trucks for multiple hours straight is interesting, this is a very underrated game!"
1,2, just like ats the ai traffic will run yield signs/stop signs and run into your truck.
1,0, game crashes after 10 minutes not running with any mods and i`ve been playing ever since this came out. american truck sim runs fine.
0,0, super good worth to buy
0,0, me truker
0,0, it's perfect
0,0, very nicce game with pure graphics
0,0, it was good
0,0, best driving simulation game ever made
1,0, great game. just minor bugs. but overall great!
0,0, never gets old
0,0," great game for singleplayer chill gaming, but also for multiplayer use with the truckersmp mod"
0,0, hop on a convoy with your crippling debt and watch your rich friend smash into you at mach 4 to the point you start flying
0,0, i mean u ride and things
0,0," great game!!!!! probably not a game for everyone, but if love driving games this is it!!! tons of great dlc!!!!"
0,0, very very good
0,0, aim gaming trucker smp its so fan
0,0, its an extremely repetitive driving game. but its the 18gb trailer dlc that i have to download despite not buying it that's making me uninstall and give this review.
0,0," driving trucks, visiting superbly rendered cities around europe and building the largest trucking company in a sim world, euro truck driver does all this and more. nothing compares to ets2 not that i have tried anything else, but why would i when ets2 ticks all the boxes i personally want (there other truck sim, american truck driver is also very good). it is also backed by a great development team who continuously update the game (for free) and provide new dlc that is interesting and adds flavour to the base game, it is my job away from work, and i don't mind that!"
0,0, this game is awesome! i don't regret a single cent i spent on this game.
0,0," i like this game, 4 years before i played now continue the game"
1,0, i was enjoying the game until it stopped working it loads halfway into the game and then crashes im on a corsair custom build so i know its not my pc ive even re-downloaded and checked the came file integrity
2,2," ets 2 is a very good driving game but has somethings to add:visual damage.emergency vehicles can be seen on-duty.dynamic road event (crash or arrestation). by example: emergency services really doing smt about it, and police actually doing arrestation or others."
1,1, this game has a bug where capping your fps just randomly uncaps.this has been a bug since 2013 lol
0,0, i like game but i have only 1 problem is i don't have money to buy maps dlc soo yeh if that dlc be free or just buy it with game that be cool
0,0, i ran out of sanity
0,0, fun and ejoyable
0,0, g
1,0," i'm not happy because on 1.47_experimental beta it doesn't let me play multiplayer or play with someone in the ""convoys"" function please fix your game!"
0,0, this game is extremly funny for 5 euros so buy this game!
0,0," did not expect this game too be so blissful and calming... but perhaps being from a somewhat chaotic 3rd world country with a plethora of idiotic reckless drivers caused said opinion. the title of the game says it all really, you are expected to drive cargo from a to b by truck properly"
0,0, wonderful game
0,0, niceeeeeee
0,0, very goood games!!!
0,0, good game for simulators been out for years and is still one of the most realistic games ive played and it still gets updated!
0,0, why is there a speed limit on the autobahn ???
0,0, good if you like driving and trucking
0,0, better than real life
0,0, good game to relax
0,0, truck go brr
0,0, i fully recommend this to anyone that enjoys simulation driving games and plays great on the steam deck too
0,0, very chill game! very satisfying to drive through cities while listening to either a podcast or a video in the background.
0,0, very realistic & addictive game
0,2, drive and chill while breaking alot of laws
0,0, respect
0,2, relaxing game
0,0, top 10 ways to learn how to crash in 10 secs
0,0," hahaha, trucks go brrrrr and hoooonk"
0,0, i mean it's alright.
0,0, beautifull game to play and spend time on if you dont have a driving licence in real life!
2,2, i wish you could run over civilians
0,0," i love funny truck game. this game is amazing, i love how theres so much stuff to do and how mods make the game even better (i use some immersive sound mods) and this game feels really immersive and realistic even without a steering wheel."
0,0, if you want to destroy everithing go bankrupt and cause a nuklear warfare just with your truck this is the perfect game10/10 i do not recommendp.s you can use your truck to make ur friend's truck be 100% damaged and spend their life fortune on repairing that truck
1,1, i keep getting fined for 'headlight usage offence' even though my headlights have stayed off
0,0, haha truck engine go brrrr
0,0, still paying of loans...
0,0, good game would reccomend
0,0, chill game best played late at night with some music
0,0, thinking bout this game gets me going
0,2," unironically, it will cure your depression."
0,0, very relaxing and funny game to play with friends esopecially with mods
0,0, gay sex with trucks ?!
2,2, i love just putting on my spotify playlist (wish there was integration with spotify in the in-game radio) and driving for hours doing my deliveries. great fun especially with a wheel + shifter combo.
1,0," i used to love this game, i have played thousands of hours on it. it used to be fun but there are now so many updates it's not worth it any more. every time i log on there seems to be another update which cancels your load and puts your truck back in your garage.also if you are running mods like pro mods, after an update it will break the game and you have to disable pro mods to log back on and sometimes running modded trucks can have the same effect.i run lots of other games with mods, all genuine bought from steam and updates don't break them so why do they break ets2?"
0,0, it's a good game if you like trucks. also i like. i recommend it to others.
0,2, sometimes you just need to chill... to forget about everything and calm down.and this game is just perfect for escaping reality and thinking that you are just a giant roadside rock.
0,0, truck go brrrrrr
0,0, good drive with the boissssssssss
0,0," i have ran into 532 644,98 cars pretty small number if you ask me."
0,0, europe is pretty cool
0,2, you should def play it more.
0,0, i use arch btw
0,0, the best truck crash simulator
0,0, i killed a family of 6 in this game. truly an experience for all the kids.
0,0, driving trucks on road in europe is fun
0,0, best truck sim.
0,0, i fliped 4 times in 5 minits would play again
0,2," very nice to relax, and play while you're listening a video, class, etc"
0,0, game is old but is so much fun. can't stop playing it. i just love to drive around listening to the radio and recognising bits of road i've driven past myself in real life.
0,2," euro truck simulator 2 - is an exciting simulation game that takes you into the world of trucking, driving heavy trucks on european roads.the game allows you to cross countries and explore new cities as if you were a real truck driver. you have to follow long routes, transport different cargoes, fulfill orders and earn money.one of the main aspects of the game is realism. truck driving is recreated with incredible detail, taking into account the physics of traffic, road conditions, and weather. while driving, you will feel the weight of the cargo and the realistic behavior of the vehicle.the graphics are stunningly beautiful and detailed. every city, every landscape and every road looks incredibly realistic. you will be able to drive through beautiful landscapes, pass by famous landmarks and enjoy the details of each location.euro truck simulator 2 is not only a game about driving, but also about a driver's career. you can create your own company, buy new trucks, hire drivers and expand your business opportunities.the game is also modifiable, allowing you to change and customize different aspects of the game. you can add new trucks, routes, landscapes, and more to expand the game world to your liking."
1,1," game deleted my progress despite saying ""saving"" and i couldn't load the game back to where i was, practically putting me back at the beginning of the game."
0,2," very relaxing game,i recommend"
0,0, man i love truckin'
0,0, nice game with the wheel its so good!!!!! you need to buy dlcs to make the game even better
2,0," i'm a 53 yro woman who's more partial to rpgs, but since purchasing ets2 i have been totally swayed and hooked on this driving simulator. the initial learning curve was a bit hard for me (tutorial is a bit lacking,) but i managed to muddle my way through the keyboard and mouse settings rather quickly. once i got the hang of the game, i couldn't help but sink a few more dollars on a g92 gaming wheel, and omg does this take the realism to the next level! i'm eyeballing the dlcs for ets2 and also ats (and subsequent dlcs for that one too.) unlike my sister who is a real life truckie, i know very little about big rigs, but if i can manage to sort things out, (and add mods to this game,) then anyone can. i just wish i knew how to drive a stick... i'd probably get a g driving force shifter. lol! highly recommend this game."
0,0, this game is good with mods and music on the background
0,0," this is the perfect game for hanging out with friends in a discord vc to, while i feel the dlcs are a bit pricy considering they are almost as much as the base game afaik, i highly recommend this to everyone who just wants to have some fun.also, if you have a usb steering wheel. use it. it's so worth it i promise."
0,0, god save me
